Name	Version	Format	LastModified	Size	Nodes	Edges	ConnectedComponents	Singletons	MaxNodeDegree	MeanNodeDegree
aeo	2014-12-05	TSV	2021-10-26 19:24:26+00:00	17758	278	367	(29, 1, 249)	27	14	2.64
aeo	2014-12-05	JSON	2021-10-26 19:24:27+00:00	283214	278	367	(29, 1, 249)	27	14	2.64
agro	2021-07-01	TSV	2021-10-01 23:53:32+00:00	312430	4278	6433	(368, 1, 3905)	362	69	3.01
agro	2021-07-01	JSON	2021-10-01 23:53:31+00:00	4170171	4278	6433	(368, 1, 3905)	362	69	3.01
aism	2021-09-08	TSV	2021-10-01 23:53:49+00:00	78303	946	1773	(83, 1, 861)	79	77	3.75
aism	2021-09-08	JSON	2021-10-01 23:53:49+00:00	1262750	946	1773	(83, 1, 861)	79	77	3.75
amphx	2020-12-18	TSV	2021-10-01 23:53:59+00:00	47610	415	1652	(14, 1, 401)	12	272	7.96
amphx	2020-12-18	JSON	2021-10-01 23:53:59+00:00	954727	415	1652	(14, 1, 401)	12	272	7.96
apo	2021-10-07	TSV	2021-10-07 19:28:46+00:00	25266	650	1999	(23, 1, 626)	21	313	6.15
apo	2021-10-07	JSON	2021-10-07 19:28:46+00:00	835720	650	1999	(23, 1, 626)	21	313	6.15
apo	2021-09-07	TSV	2021-10-01 23:54:09+00:00	25150	650	1999	(23, 1, 626)	21	313	6.15
apo	2021-09-07	JSON	2021-10-01 23:54:08+00:00	825212	650	1999	(23, 1, 626)	21	313	6.15
apollo_sv	v4.1.1.	TSV	2021-10-15 02:15:05+00:00	228951	2132	2989	(109, 1, 1999)	101	89	2.80
apollo_sv	v4.1.1.	JSON	2021-10-15 02:15:04+00:00	2612560	2132	2989	(109, 1, 1999)	101	89	2.80
aro	05-10-2021-09-37	TSV	2021-10-26 19:25:42+00:00	412337	6477	10503	(25, 1, 6453)	24	958	3.24
aro	05-10-2021-09-37	JSON	2021-10-26 19:25:43+00:00	7389702	6477	10503	(25, 1, 6453)	24	958	3.24
bco	2020-03-27	TSV	2021-10-01 23:55:04+00:00	11086	159	163	(48, 1, 99)	43	38	2.05
bco	2020-03-27	JSON	2021-10-01 23:55:05+00:00	131466	159	163	(48, 1, 99)	43	38	2.05
bco	2020-03-27	TSV	2021-10-01 23:55:04+00:00	11086	159	163	(48, 1, 99)	43	38	2.05
bco	2020-03-27	JSON	2021-10-01 23:55:05+00:00	131466	159	163	(48, 1, 99)	43	38	2.05
bfo	2019-08-26	TSV	2021-10-01 20:10:09+00:00	17251	73	116	(10, 1, 49)	7	47	3.18
bfo	2019-08-26	JSON	2021-10-01 20:10:09+00:00	114355	73	116	(10, 1, 49)	7	47	3.18
